id,_fivetran_synced,_fivetran_active,account_id,activity_date,activity_date_time,created_by_id,created_date,description,duration_in_minutes,end_date,end_date_time,event_subtype,group_event_type,is_archived,is_child,is_deleted,is_group_event,is_private,is_recurrence,is_recurrence_2,is_recurrence_2_exception,is_recurrence_2_exclusion,is_reminder_set,last_modified_by_id,last_modified_date,location,owner_id,recurrence_2_pattern_start_date,recurrence_2_pattern_text,recurrence_2_pattern_time_zone,recurrence_2_pattern_version,recurrence_activity_id,recurrence_day_of_month,recurrence_day_of_week_mask,recurrence_end_date_only,recurrence_instance,recurrence_interval,recurrence_month_of_year,recurrence_start_date_time,recurrence_time_zone_sid_key,recurrence_type,reminder_date_time,show_as,start_date_time,subject,system_modstamp,type,what_count,what_id,who_count,who_id
1,2024-09-13 09:00:00,True,ACCT001,2024-09-15,2024-09-15 10:00:00,USER001,2024-09-13 09:00:00,"Meeting with client",60,2024-09-15,2024-09-15 11:00:00,"Event","",False,False,False,False,False,True,False,False,False,True,USER001,2024-09-13 09:00:00,"Client Office",USER001,2024-09-15,"FREQ=WEEKLY;BYDAY=MO","America/New_York","1","",15,2,"2024-12-31","First",1,"","2024-09-15 10:00:00","America/New_York","Recurs","2024-09-15 09:45:00","Busy","2024-09-15 10:00:00","Client Meeting","2024-09-13 09:00:00","Meeting",0,"",0
2,2024-09-13 09:15:00,True,ACCT002,2024-09-16,2024-09-16 14:00:00,USER002,2024-09-13 09:15:00,"Product demo",90,2024-09-16,2024-09-16 15:30:00,"Event","",False,False,False,False,False,False,True,False,False,True,USER002,2024-09-13 09:15:00,"Online",USER002,"","","","","","","","","","","","","2024-09-16 14:00:00","America/Los_Angeles","", "2024-09-16 13:45:00","Free","2024-09-16 14:00:00","Product Demo","2024-09-13 09:15:00","Call",0,"",0
3,2024-09-13 09:30:00,False,ACCT003,2024-09-17,2024-09-17 09:00:00,USER003,2024-09-13 09:30:00,"Team stand-up meeting",30,2024-09-17,2024-09-17 09:30:00,"Event","",False,False,False,True,False,True,False,False,False,True,USER003,2024-09-13 09:30:00,"Conference Room A",USER003,2024-09-17,"FREQ=DAILY","America/Chicago","1","","","","","", "", "","2024-09-17 09:00:00","America/Chicago","Recurs","2024-09-17 08:45:00","Busy","2024-09-17 09:00:00","Daily Stand-up","2024-09-13 09:30:00","Meeting",0,"",0
4,2024-09-13 09:45:00,True,ACCT004,2024-09-18,2024-09-18 16:00:00,USER004,2024-09-13 09:45:00,"Project kickoff",120,2024-09-18,2024-09-18 18:00:00,"Event","",False,False,False,False,True,False,False,False,False,True,USER004,2024-09-13 09:45:00,"Client HQ",USER004,"","","","","","","","","","","","","2024-09-18 16:00:00","America/New_York","", "2024-09-18 15:45:00","Busy","2024-09-18 16:00:00","Project Kickoff","2024-09-13 09:45:00","Meeting",0,"",0
5,2024-09-13 10:00:00,False,ACCT005,2024-09-19,2024-09-19 13:00:00,USER005,2024-09-13 10:00:00,"Webinar on new features",60,2024-09-19,2024-09-19 14:00:00,"Event","",False,False,False,False,False,False,False,False,False,True,USER005,2024-09-13 10:00:00,"Webinar Platform",USER005,"","","","","","","","","","","","","2024-09-19 13:00:00","America/Los_Angeles","", "2024-09-19 12:45:00","Free","2024-09-19 13:00:00","Feature Webinar","2024-09-13 10:00:00","Meeting",0,"",0
6,2024-09-13 10:15:00,True,ACCT006,2024-09-20,2024-09-20 11:00:00,USER006,2024-09-13 10:15:00,"Quarterly review",90,2024-09-20,2024-09-20 12:30:00,"Event","",False,False,False,False,False,False,True,False,False,True,USER006,2024-09-13 10:15:00,"Office",USER006,"","","","","","","","","","","","","2024-09-20 11:00:00","America/Chicago","", "2024-09-20 10:45:00","Busy","2024-09-20 11:00:00","Quarterly Review","2024-09-13 10:15:00","Meeting",0,"",0
7,2024-09-13 10:30:00,False,ACCT007,2024-09-21,2024-09-21 15:00:00,USER007,2024-09-13 10:30:00,"Client appreciation event",180,2024-09-21,2024-09-21 18:00:00,"Event","",False,False,False,True,False,True,False,False,False,True,USER007,2024-09-13 10:30:00,"Hotel Ballroom",USER007,"","","","","","","","","","","","","2024-09-21 15:00:00","America/Denver","", "2024-09-21 14:45:00","Free","2024-09-21 15:00:00","Appreciation Event","2024-09-13 10:30:00","Meeting",0,"",0
8,2024-09-13 10:45:00,True,ACCT008,2024-09-22,2024-09-22 09:30:00,USER008,2024-09-13 10:45:00,"Product testing session",120,2024-09-22,2024-09-22 11:30:00,"Event","",False,False,False,False,False,False,False,False,False,True,USER008,2024-09-13 10:45:00,"Lab 3",USER008,"","","","","","","","","","","","","2024-09-22 09:30:00","America/Los_Angeles","", "2024-09-22 09:15:00","Busy","2024-09-22 09:30:00","Testing Session","2024-09-13 10:45:00","Meeting",0,"",0
9,2024-09-13 11:00:00,False,ACCT009,2024-09-23,2024-09-23 14:30:00,USER009,2024-09-13 11:00:00,"Data analysis workshop",150,2024-09-23,2024-09-23 17:00:00,"Event","",False,False,False,False,False,False,True,False,False,True,USER009,2024-09-13 11:00:00,"Training Center",USER009,"","","","","","","","","","","","","2024-09-23 14:30:00","America/New_York","", "2024-09-23 14:15:00","Busy","2024-09-23 14:30:00","Workshop","2024-09-13 11:00:00","Meeting",0,"",0
10,2024-09-13 11:15:00,True,ACCT010,2024-09-24,2024-09-24 08:00:00,USER010,2024-09-13 11:15:00,"Operations meeting",60,2024-09-24,2024-09-24 09:00:00,"Event","",False,False,False,False,False,False,False,False,False,True,USER010,2024-09-13 11:15:00,"Conference Call",USER010,"","","","","","","","","","","","","2024-09-24 08:00:00","America/Chicago","", "2024-09-24 07:45:00","Busy","2024-09-24 08:00:00","Ops Meeting","2024-09-13 11:15:00","Call",0,"",0
