id,_fivetran_synced,_fivetran_active,created_by_id,created_date,description,discount,has_quantity_schedule,has_revenue_schedule,has_schedule,is_deleted,last_modified_by_id,last_modified_date,last_referenced_date,last_viewed_date,list_price,name,opportunity_id,pricebook_entry_id,product_2_id,product_code,quantity,service_date,sort_order,system_modstamp,total_price,unit_price
1,2024-09-13 09:00:00,True,USER001,2024-09-13 08:00:00,"High-end server",5.0,False,False,False,False,USER001,"2024-09-13 09:00:00","2024-09-13 10:00:00","2024-09-13 11:00:00",10000,"Server Model X","OPP001","PBE001","PROD001","SMX-100",10,"2024-09-20",1,"2024-09-13 09:00:00",95000,9500
2,2024-09-13 09:15:00,True,USER002,2024-09-13 08:15:00,"Cloud storage package",10.0,False,False,False,False,USER002,"2024-09-13 09:15:00","2024-09-13 10:15:00","2024-09-13 11:15:00",5000,"Cloud Storage Basic","OPP002","PBE002","PROD002","CSB-200",20,"2024-09-25",2,"2024-09-13 09:15:00",90000,4500
3,2024-09-13 09:30:00,True,USER003,2024-09-13 08:30:00,"Marketing software license",0.0,False,False,False,False,USER003,"2024-09-13 09:30:00","2024-09-13 10:30:00","2024-09-13 11:30:00",8000,"Marketing Suite","OPP003","PBE003","PROD003","MS-300",5,"2024-09-30",3,"2024-09-13 09:30:00",40000,8000
4,2024-09-13 09:45:00,True,USER004,2024-09-13 08:45:00,"Financial analysis tool",7.5,False,False,False,False,USER004,"2024-09-13 09:45:00","2024-09-13 10:45:00","2024-09-13 11:45:00",12000,"Finance Analyzer","OPP004","PBE004","PROD004","FA-400",8,"2024-10-05",4,"2024-09-13 09:45:00",88800,11100
5,2024-09-13 10:00:00,True,USER005,2024-09-13 09:00:00,"HR management system",5.0,False,False,False,False,USER005,"2024-09-13 10:00:00","2024-09-13 11:00:00","2024-09-13 12:00:00",15000,"HR Pro Suite","OPP005","PBE005","PROD005","HRPS-500",3,"2024-10-10",5,"2024-09-13 10:00:00",42750,14250
6,2024-09-13 10:15:00,True,USER006,2024-09-13 09:15:00,"Legal case management",0.0,False,False,False,False,USER006,"2024-09-13 10:15:00","2024-09-13 11:15:00","2024-09-13 12:15:00",20000,"Legal Suite","OPP006","PBE006","PROD006","LS-600",2,"2024-10-15",6,"2024-09-13 10:15:00",40000,20000
7,2024-09-13 10:30:00,True,USER007,2024-09-13 09:30:00,"Customer support platform",10.0,False,False,False,False,USER007,"2024-09-13 10:30:00","2024-09-13 11:30:00","2024-09-13 12:30:00",10000,"Support Pro","OPP007","PBE007","PROD007","SP-700",6,"2024-10-20",7,"2024-09-13 10:30:00",54000,9000
8,2024-09-13 10:45:00,True,USER008,2024-09-13 09:45:00,"Product management tool",5.0,False,False,False,False,USER008,"2024-09-13 10:45:00","2024-09-13 11:45:00","2024-09-13 12:45:00",11000,"Product Master","OPP008","PBE008","PROD008","PM-800",4,"2024-10-25",8,"2024-09-13 10:45:00",41800,10450
9,2024-09-13 11:00:00,True,USER009,2024-09-13 10:00:00,"Data analytics package",0.0,False,False,False,False,USER009,"2024-09-13 11:00:00","2024-09-13 12:00:00","2024-09-13 13:00:00",9000,"Analytics Pro","OPP009","PBE009","PROD009","AP-900",7,"2024-10-30",9,"2024-09-13 11:00:00",63000,9000
10,2024-09-13 11:15:00,True,USER010,2024-09-13 10:15:00,"Operations software",7.0,False,False,False,False,USER010,"2024-09-13 11:15:00","2024-09-13 12:15:00","2024-09-13 13:15:00",13000,"Ops Manager","OPP010","PBE010","PROD010","OM-1000",5,"2024-11-05",10,"2024-09-13 11:15:00",60475,12095
