id,_fivetran_synced,_fivetran_active,account_number,account_source,annual_revenue,billing_city,billing_country,billing_country_code,billing_geocode_accuracy,billing_latitude,billing_longitude,billing_postal_code,billing_state,billing_state_code,billing_street,description,fax,industry,is_deleted,jigsaw_company_id,last_activity_date,last_referenced_date,last_viewed_date,master_record_id,name,number_of_employees,owner_id,ownership,parent_id,phone,photo_url,rating,record_type_id,shipping_city,shipping_country,shipping_country_code,shipping_geocode_accuracy,shipping_latitude,shipping_longitude,shipping_postal_code,shipping_state,shipping_state_code,shipping_street,sic,sic_desc,site,ticker_symbol,type,website
1,2023-09-13 08:30:00,True,ACC1001,Web,5000000,New York,United States,US,High,40.7128,-74.0060,10001,New York,NY,123 Main St.,"Leading provider of tech solutions.","+1-212-555-0100",Technology,False,JSG12345,2023-09-12,2023-09-12 14:20:00,2023-09-12 14:25:00,,Tech Innovators Inc.,250,USR001,Public,,+1-212-555-0101,/photos/tech_innovators.jpg,Hot,RT001,Los Angeles,United States,US,High,34.0522,-118.2437,90001,California,CA,456 Market St.,3571,"Manufacturing Electronic Components",Headquarters,TII,Customer,https://www.techinnovators.com
2,2023-09-13 08:45:00,True,ACC1002,Referral,750000,Boston,United States,US,Medium,42.3601,-71.0589,02108,Massachusetts,MA,789 Broadway Ave.,"Supplier of medical equipment.","+1-617-555-0200",Healthcare,False,JSG12346,2023-09-11,2023-09-11 10:15:00,2023-09-11 10:30:00,,Health Supplies Co.,150,USR002,Private,,+1-617-555-0201,/photos/health_supplies.jpg,Warm,RT002,Miami,United States,US,Medium,25.7617,-80.1918,33101,Florida,FL,101 Ocean Dr.,3845,"Wholesale Medical Supplies",Branch,HSC,Partner,https://www.healthsuppliesco.com
3,2023-09-13 09:00:00,False,ACC1003,Advertisement,1200000,Chicago,United States,US,Low,41.8781,-87.6298,60601,Illinois,IL,246 Lake Shore Dr.,"Manufactures consumer electronics.","+1-312-555-0300",Manufacturing,True,JSG12347,2023-09-10,2023-09-10 09:00:00,2023-09-10 09:05:00,2,ElectroGoods LLC,500,USR003,Subsidiary,1,+1-312-555-0301,/photos/electrogoods.jpg,Cold,RT003,Houston,United States,US,Low,29.7604,-95.3698,77001,Texas,TX,202 Main St.,3634,"Manufacturing Household Appliances",Factory,EGL,Competitor,https://www.electrogoods.com
4,2023-09-13 09:15:00,True,ACC1004,Trade Show,2000000,San Francisco,United States,US,High,37.7749,-122.4194,94101,California,CA,135 Market St.,"Cloud-based software services.","+1-415-555-0400",Technology,False,JSG12348,2023-09-09,2023-09-09 11:45:00,2023-09-09 12:00:00,,CloudServe Inc.,300,USR004,Public,,+1-415-555-0401,/photos/cloudserve.jpg,Hot,RT001,Seattle,United States,US,High,47.6062,-122.3321,98101,Washington,WA,789 Pine St.,7372,"Software Development Services",Headquarters,CSI,Customer,https://www.cloudserve.com
5,2023-09-13 09:30:00,False,ACC1005,Data.com,950000,Dallas,United States,US,Medium,32.7767,-96.7970,75201,Texas,TX,357 Elm St.,"Financial consulting firm.","+1-214-555-0500",Finance,True,JSG12349,2023-09-08,2023-09-08 13:30:00,2023-09-08 13:45:00,3,Finance Pros LLC,80,USR005,Private,2,+1-214-555-0501,/photos/finance_pros.jpg,Warm,RT002,Denver,United States,US,Medium,39.7392,-104.9903,80201,Colorado,CO,321 Broadway Blvd.,6211,"Financial Advisory Services",Office,FPL,Partner,https://www.financepros.com
6,2023-09-13 09:45:00,True,ACC1006,Web,3000000,Austin,United States,US,High,30.2672,-97.7431,73301,Texas,TX,468 Congress Ave.,"Educational software provider.","+1-512-555-0600",Education,False,JSG12350,2023-09-07,2023-09-07 14:10:00,2023-09-07 14:25:00,,EduTech Corp.,120,USR006,Public,,+1-512-555-0601,/photos/edutech.jpg,Hot,RT001,Portland,United States,US,High,45.5152,-122.6784,97201,Oregon,OR,654 River Rd.,8299,"Educational Services",Campus,ETC,Customer,https://www.edutechcorp.com
7,2023-09-13 10:00:00,False,ACC1007,Referral,850000,Philadelphia,United States,US,Low,39.9526,-75.1652,19019,Pennsylvania,PA,579 Chestnut St.,"Retail clothing chain.","+1-215-555-0700",Retail,True,JSG12351,2023-09-06,2023-09-06 15:50:00,2023-09-06 16:00:00,5,StyleMart Inc.,600,USR007,Private,4,+1-215-555-0701,/photos/stylemart.jpg,Cold,RT003,San Diego,United States,US,Low,32.7157,-117.1611,92101,California,CA,987 Sunset Blvd.,5611,"Retail Clothing Stores",Outlet,SMI,Competitor,https://www.stylemart.com
8,2023-09-13 10:15:00,True,ACC1008,Advertisement,670000,San Jose,United States,US,Medium,37.3382,-121.8863,95101,California,CA,246 Silicon Blvd.,"Provider of renewable energy solutions.","+1-408-555-0800",Energy,False,JSG12352,2023-09-05,2023-09-05 10:25:00,2023-09-05 10:40:00,,Green Energy Co.,220,USR008,Public,,+1-408-555-0801,/photos/green_energy.jpg,Warm,RT001,Phoenix,United States,US,Medium,33.4484,-112.0740,85001,Arizona,AZ,159 Desert Rd.,4911,"Electric Services",Facility,GEC,Partner,https://www.greenenergyco.com
9,2023-09-13 10:30:00,False,ACC1009,Data.com,1100000,Jacksonville,United States,US,High,30.3322,-81.6557,32099,Florida,FL,753 Ocean Ave.,"Global logistics and shipping.","+1-904-555-0900",Manufacturing,False,JSG12353,2023-09-04,2023-09-04 09:35:00,2023-09-04 09:50:00,,Global Shipments Ltd.,400,USR009,Subsidiary,,+1-904-555-0901,/photos/global_shipments.jpg,Hot,RT003,Columbus,United States,US,High,39.9612,-82.9988,43085,Ohio,OH,852 Lake Dr.,4213,"Trucking and Courier Services",Warehouse,GSL,Customer,https://www.globalshipments.com
10,2023-09-13 10:45:00,True,ACC1010,Web,2400000,Indianapolis,United States,US,Medium,39.7684,-86.1581,46201,Indiana,IN,951 Monument Cir.,"Producer of agricultural equipment.","+1-317-555-1000",Manufacturing,True,JSG12354,2023-09-03,2023-09-03 11:15:00,2023-09-03 11:30:00,6,Agriplex Corp.,350,USR010,Private,7,+1-317-555-1001,/photos/agriplex.jpg,Cold,RT002,Charlotte,United States,US,Medium,35.2271,-80.8431,28201,North Carolina,NC,357 Carolina St.,3523,"Farm Machinery and Equipment",Factory,APC,Partner,https://www.agriplex.com
